"","sub","data","mean","se"
"6","CAT","HeadN-NRel",459.527951388889,8.41661809701257
"7","CAT","HeadN-NUnr",458.08345959596,8.05263830034996
"8","CAT","UnrHead-NRel",463.957623106061,8.21781200890937
"9","CAT","UnrHead-NUnr",460.073737373737,8.13020533236702
"71","PROP","HeadN-NRel",440.837673611111,8.93377244066652
"81","PROP","NeadN-NAssc",441.619791666667,8.35057486867434
"91","PROP","HeadN-NUnr",453.012152777778,9.45101911294973
"10","PROP","UnrHead-NRel",456.50404265873,9.00504107144175
"11","PROP","UnrHead-NAssc",454.847098214286,8.95651688254019
"12","PROP","UnrHead-NUnr",463.300347222222,9.07087636637923
"61","SEMREL","HeadN-NRel",441.400694444444,8.12596700242229
"72","SEMREL","HeadN-NUnr",462.267534722222,7.7883718225511
"82","SEMREL","UnrHead-NRel",452.0703125,8.30256670708697
"92","SEMREL","UnrHead-NUnr",461.058680555556,8.01041616753421
